method,params,scene,n_seeds,n_episodes,reach,reach_ci_lo,reach_ci_hi,crash,crash_ci_lo,crash_ci_hi,timeout,timeout_ci_lo,timeout_ci_hi,mean_reach_steps
rl_D_i50,,gauntlet,2,4139,0.9253442860594346,0.9169364705814231,0.9329632697320853,0.06909881613916405,0.06176491395323373,0.07723185580016452,0.005556897801401305,0.0037057529586275438,0.008325023212008571,693.2321148825065
tissf,"eps0=1.0,lam=0.5",gauntlet,2,3690,0.9482384823848239,0.9406125002771822,0.9549321272997014,0.04254742547425474,0.03649684398259769,0.04954950949395635,0.00921409214092141,0.006601226815436069,0.012847793413260257,665.5798799657044
tissf,"eps0=1.0,lam=1.5",gauntlet,2,3592,0.9457126948775055,0.9378152133548042,0.9526578263919966,0.044543429844097995,0.038269482080894285,0.05179054725966398,0.009743875278396437,0.007014529143053689,0.013520746938072908,660.7065057403591
tissf,"eps0=2.0,lam=0.5",gauntlet,2,3997,0.9319489617212909,0.9237196118542276,0.939348798552223,0.06129597197898424,0.054272346573199744,0.06916208282285535,0.006755066299724793,0.004646684637595331,0.009810673534245315,679.2257718120806
tissf,"eps0=2.0,lam=1.5",gauntlet,2,3798,0.9407582938388626,0.9327953929468882,0.9478304595347091,0.05134281200631911,0.04476611047064358,0.058826211734468795,0.007898894154818325,0.005538571180889784,0.011253711801126089,678.6789812482508
issf,phi=0.1,in_dist,2,3760,0.872872340425532,0.861842654884843,0.8831408747089637,0.12367021276595745,0.11352994557861136,0.13457868896116315,0.003457446808510638,0.002021692203802569,0.0059068029804793636,704.0755636806825
issf,phi=0.2,in_dist,2,3779,0.8846255623180735,0.8740466809359043,0.8944232438952068,0.11114051336332363,0.10151150595735056,0.12155931995299157,0.004233924318602805,0.002607845683561117,0.006866936448474229,702.0179479509422
issf,phi=0.5,in_dist,2,3626,0.9081632653061225,0.8983262431267418,0.9171363379401565,0.08659680088251517,0.07787442818360403,0.0961942143709361,0.005239933811362383,0.003357160616103339,0.008169953955507719,719.6762830245976
issf,phi=1.0,in_dist,2,3189,0.9379115710253998,0.9289975694073416,0.9457717896488671,0.05487613671997491,0.047494000609690105,0.06332941136289255,0.007212292254625274,0.004810759693008751,0.010799660817673645,699.8335005015045
issf,phi=1.5,in_dist,2,2793,0.9373433583959899,0.9277409519377624,0.9457443394709466,0.04905119942713928,0.04164233023866113,0.05769886949177765,0.013605442176870748,0.009928436300343062,0.018618621924191354,685.7563025210084
issf,phi=2.0,in_dist,2,2627,0.9113056718690522,0.8998245144008437,0.9215856381526208,0.07346783403121432,0.0641014017672486,0.08407992545518853,0.015226494099733536,0.011201871622192966,0.02066686574306688,673.5810359231411
issf,phi=3.0,in_dist,2,2201,0.8918673330304407,0.8782038805173642,0.9041652474961857,0.08041799182189914,0.06977439913372231,0.09252369974104492,0.027714675147660156,0.0216362973884542,0.035438823109997936,641.0086602139583
rl_A,,in_dist,2,3746,0.8801388147357181,0.8693461249677503,0.8901526229260273,0.11692471970101441,0.10702474690232833,0.12760959071875944,0.0029364655632674853,0.0016404779177854386,0.005250906507626023,725.2150439793752
rl_A_i50,,in_dist,2,3867,0.8787173519524178,0.8680502688595365,0.8886327222502003,0.11766227049392294,0.10788408395037778,0.12819935588864842,0.0036203775536591673,0.0021578336998418685,0.006068181025224639,721.3643319599764
rl_B,,in_dist,2,3807,0.8796952981350145,0.8689765727417729,0.889648503671794,0.11715261360651431,0.10732035050622067,0.12775675162261088,0.0031520882584712374,0.0018040622046346614,0.0055018305409467875,714.4013138250224
rl_B_i50,,in_dist,2,3869,0.8761953993279917,0.865442392614059,0.8862020846607152,0.12018609459808736,0.11031441356779595,0.13081127564190476,0.00361850607392091,0.0021567176415100806,0.006065049032345105,720.8454277286136
rl_C,,in_dist,2,3900,0.8810256410256411,0.8704875785583577,0.8908138021124157,0.11692307692307692,0.10721302686416603,0.12738706551663143,0.0020512820512820513,0.0010397771362974575,0.004042806132449923,715.6146682188592
rl_C_i50,,in_dist,2,3805,0.876215505913272,0.8653699802002732,0.8863021292410855,0.12089356110381078,0.11091549509721157,0.13163636108919427,0.0028909329829172143,0.001615029152542485,0.0051696058398919605,711.7159568086382
rl_D,,in_dist,2,3832,0.9018789144050104,0.8920536843339386,0.9108991800387718,0.09394572025052192,0.0851104643788773,0.10359430382635827,0.0041753653444676405,0.0025717547193462357,0.006772113911725495,726.8347800925926
rl_D_i50,,in_dist,2,3799,0.8862858647012372,0.8757979845234429,0.8959932991313904,0.10976572782311135,0.10021667302066838,0.12010320567214912,0.003948407475651487,0.002394275349557879,0.0065047542603001805,711.2690822690822
tissf,"eps0=1.0,lam=0.5",in_dist,2,3372,0.9223013048635824,0.9127775339509723,0.9308639449620193,0.07206405693950178,0.06381410037917326,0.08128796839087801,0.005634638196915777,0.003610243602663677,0.008784176799051854,697.5713826366559
tissf,"eps0=1.0,lam=1.5",in_dist,2,3278,0.9280048810250152,0.9186461996682055,0.9363615496393783,0.06467358145210494,0.05675297158200479,0.07361334469602643,0.007321537522879805,0.004925007158851587,0.01087148953983125,697.3086785009862
tissf,"eps0=2.0,lam=0.5",in_dist,2,3577,0.9027117696393626,0.8925634977869575,0.9119959666696663,0.09225608051439754,0.08320486091623502,0.10218217212091468,0.005032149846239866,0.0031854735254776673,0.007940849403746567,694.8442242180241
tissf,"eps0=2.0,lam=1.5",in_dist,2,3684,0.9017372421281216,0.8917022771557722,0.9109352330887023,0.09337676438653637,0.08439998916468505,0.10320069303381285,0.004885993485342019,0.0030928884311207643,0.007710612456769864,708.6709813365443
